Integer Structure Map — tinyllama_tinyllama-1.1b-chat-v1.0
Scanned 200/201 tensors (eps=0.1, 1 unsupported types skipped)
Q4_0 max entropy = 4.0 bits (16 uniform levels). Lower = more structured.

TENSOR                                          TYPE    ELEMS ENTROPY  EFF_LV  %LOW_E MAX|W|    %ZERO
------------------------------------------------------------------------------------------------------------
blk.12.attn_k.weight                            Q4_0   524.3K   3.379    10.4    0.0%  0.488    96.0%
blk.13.ffn_down.weight                          Q4_0    11.5M   3.379    10.4    0.1%  0.797   100.0%
blk.12.ffn_down.weight                          Q4_0    11.5M   3.379    10.4    0.1%  0.805   100.0%
blk.16.ffn_down.weight                          Q4_0    11.5M   3.380    10.4    0.1%  0.672   100.0%
blk.14.ffn_up.weight                            Q4_0    11.5M   3.380    10.4    0.1%  0.381   100.0%
blk.9.attn_q.weight                             Q4_0     4.2M   3.380    10.4    0.1%  0.391    99.8%
blk.14.ffn_gate.weight                          Q4_0    11.5M   3.380    10.4    0.1%  0.570   100.0%
blk.15.ffn_down.weight                          Q4_0    11.5M   3.381    10.4    0.1%  0.598   100.0%
blk.20.attn_v.weight                            Q4_0   524.3K   3.381    10.4    0.0%  0.137   100.0%
blk.12.attn_q.weight                            Q4_0     4.2M   3.381    10.4    0.1%  0.416    99.8%
blk.13.attn_q.weight                            Q4_0     4.2M   3.381    10.4    0.0%  0.443    99.8%
blk.7.ffn_up.weight                             Q4_0    11.5M   3.382    10.4    0.2%  0.373   100.0%
blk.3.attn_v.weight                             Q4_0   524.3K   3.382    10.4    0.0%  0.083   100.0%
blk.13.ffn_up.weight                            Q4_0    11.5M   3.382    10.4    0.0%  0.324   100.0%
blk.12.ffn_up.weight                            Q4_0    11.5M   3.382    10.4    0.0%  0.303   100.0%
token_embd.weight                               Q4_0    65.5M   3.383    10.4    0.4%  0.149   100.0%
blk.15.ffn_gate.weight                          Q4_0    11.5M   3.383    10.4    0.0%  0.436   100.0%
blk.15.ffn_up.weight                            Q4_0    11.5M   3.383    10.4    0.0%  0.402   100.0%
blk.6.ffn_down.weight                           Q4_0    11.5M   3.384    10.4    0.1%  0.609   100.0%
blk.13.attn_k.weight                            Q4_0   524.3K   3.384    10.4    0.0%  0.402    95.7%
blk.13.ffn_gate.weight                          Q4_0    11.5M   3.384    10.4    0.0%  0.559   100.0%
blk.5.attn_v.weight                             Q4_0   524.3K   3.384    10.4    0.0%  0.103   100.0%
blk.12.ffn_gate.weight                          Q4_0    11.5M   3.385    10.4    0.0%  0.578   100.0%
blk.9.ffn_down.weight                           Q4_0    11.5M   3.385    10.4    0.1%  0.477   100.0%
blk.1.attn_output.weight                        Q4_0     4.2M   3.385    10.4    0.0%  0.516   100.0%
blk.7.ffn_gate.weight                           Q4_0    11.5M   3.385    10.4    0.2%  0.377   100.0%
blk.8.attn_output.weight                        Q4_0     4.2M   3.385    10.5    0.0%  0.691   100.0%
blk.17.ffn_down.weight                          Q4_0    11.5M   3.386    10.5    0.1%  0.621   100.0%
blk.9.ffn_up.weight                             Q4_0    11.5M   3.387    10.5    0.0%  0.252   100.0%
blk.16.ffn_up.weight                            Q4_0    11.5M   3.387    10.5    0.0%  0.465   100.0%
blk.11.ffn_down.weight                          Q4_0    11.5M   3.388    10.5    0.0%  0.504   100.0%
blk.10.ffn_down.weight                          Q4_0    11.5M   3.388    10.5    0.0%  0.598   100.0%
blk.8.ffn_down.weight                           Q4_0    11.5M   3.388    10.5    0.1%  0.664   100.0%
blk.6.ffn_up.weight                             Q4_0    11.5M   3.388    10.5    0.0%  0.359   100.0%
blk.16.ffn_gate.weight                          Q4_0    11.5M   3.388    10.5    0.0%  0.582   100.0%
blk.11.ffn_up.weight                            Q4_0    11.5M   3.389    10.5    0.0%  0.232   100.0%
blk.0.ffn_up.weight                             Q4_0    11.5M   3.389    10.5    0.0%  0.171   100.0%
blk.1.ffn_down.weight                           Q4_0    11.5M   3.389    10.5    0.0%  0.574   100.0%
blk.10.ffn_up.weight                            Q4_0    11.5M   3.389    10.5    0.0%  0.279   100.0%
blk.8.ffn_up.weight                             Q4_0    11.5M   3.389    10.5    0.0%  0.352   100.0%
blk.5.ffn_up.weight                             Q4_0    11.5M   3.389    10.5    0.1%  0.340   100.0%
blk.1.ffn_gate.weight                           Q4_0    11.5M   3.389    10.5    0.0%  0.480   100.0%
blk.21.ffn_gate.weight                          Q4_0    11.5M   3.390    10.5    0.0%  0.621    99.9%
blk.1.ffn_up.weight                             Q4_0    11.5M   3.390    10.5    0.0%  0.260   100.0%
blk.17.ffn_up.weight                            Q4_0    11.5M   3.390    10.5    0.1%  0.381   100.0%
blk.20.ffn_down.weight                          Q4_0    11.5M   3.390    10.5    0.0%  0.719   100.0%
blk.4.attn_output.weight                        Q4_0     4.2M   3.391    10.5    0.0%  0.391   100.0%
blk.11.ffn_gate.weight                          Q4_0    11.5M   3.391    10.5    0.0%  0.520   100.0%
